origin_id,destination_id,entry_cost,network_co,exit_cost,distance
36,61,0.0000000,31571.6309041,0.0000000,31571.6309041
36,62,0.0000000,33201.1643931,0.0000000,33201.1643931
36,63,0.0000000,28291.7411154,0.0000000,28291.7411154
36,64,0.0000000,23584.4824807,0.0000000,23584.4824807
36,66,0.0000000,25010.8152032,0.0000000,25010.8152032
36,67,0.0000000,19735.2873866,0.0000000,19735.2873866
36,68,0.0000000,12378.1964636,0.0000000,12378.1964636
36,69,0.0000000,12911.8843911,0.0000000,12911.8843911
36,77,,,,
36,82,,,,
36,83,,,,
36,84,,,,
36,85,,,,
36,86,,,,
36,87,,,,
36,88,,,,
36,89,,,,
36,90,,,,
38,0,,,,
38,17,,,,
38,18,,,,
38,20,,,,
38,21,,,,
38,23,,,,
38,24,,,,
38,25,,,,
38,29,,,,
38,30,,,,
38,31,,,,
38,32,,,,
38,33,,,,
38,35,,,,
38,36,39.2041514,1782.9945779,0.0000000,1822.1987292
38,38,,,,
38,39,39.2041514,1556.2155440,0.0000000,1595.4196953
38,40,39.2041514,4110.8881191,0.0000000,4150.0922705
38,48,39.2041514,44288.2314186,0.0000000,44327.4355700
38,52,39.2041514,59772.4022065,0.0000000,59811.6063579
38,53,39.2041514,59337.9899367,0.0000000,59377.1940880
38,54,39.2041514,52853.1157201,0.0000000,52892.3198715
38,57,39.2041514,47012.0441121,0.0000000,47051.2482634
38,58,39.2041514,45077.5257787,0.0000000,45116.7299301
38,60,39.2041514,33938.9448574,0.0000000,33978.1490088
38,61,39.2041514,29788.6363262,0.0000000,29827.8404776
38,62,39.2041514,31418.1698152,0.0000000,31457.3739666
38,63,39.2041514,26508.7465375,0.0000000,26547.9506889
38,64,39.2041514,21801.4879029,0.0000000,21840.6920542
38,66,39.2041514,23227.8206253,0.0000000,23267.0247767
38,67,39.2041514,17952.2928088,0.0000000,17991.4969601
38,68,39.2041514,10595.2018857,0.0000000,10634.4060371
38,69,39.2041514,11128.8898132,0.0000000,11168.0939646
38,77,,,,
38,82,,,,
38,83,,,,
38,84,,,,
38,85,,,,
38,86,,,,
38,87,,,,
38,88,,,,
38,89,,,,
38,90,,,,
39,0,,,,
39,17,,,,
39,18,,,,
39,20,,,,
39,21,,,,
39,23,,,,
39,24,,,,
39,25,,,,
39,29,,,,
39,30,,,,
39,31,,,,
39,32,,,,
39,33,,,,
39,35,,,,
39,36,,,,
39,38,,,,
39,39,,,,
39,40,0.0000000,3119.3058819,0.0000000,3119.3058819
39,48,0.0000000,43296.6491814,0.0000000,43296.6491814
39,52,0.0000000,58780.8199693,0.0000000,58780.8199693
39,53,0.0000000,58346.4076994,0.0000000,58346.4076994
39,54,0.0000000,51861.5334829,0.0000000,51861.5334829
39,57,0.0000000,46020.4618748,0.0000000,46020.4618748
39,58,0.0000000,44085.9435415,0.0000000,44085.9435415
39,60,0.0000000,32947.3626202,0.0000000,32947.3626202
39,61,0.0000000,28797.0540890,0.0000000,28797.0540890
39,62,0.0000000,30426.5875780,0.0000000,30426.5875780
39,63,0.0000000,25517.1643003,0.0000000,25517.1643003
39,64,0.0000000,20809.9056656,0.0000000,20809.9056656
39,66,0.0000000,22236.2383881,0.0000000,22236.2383881
39,67,0.0000000,16960.7105715,0.0000000,16960.7105715
39,68,0.0000000,9603.6196485,0.0000000,9603.6196485
39,69,0.0000000,10137.3075760,0.0000000,10137.3075760
39,77,,,,
39,82,,,,
39,83,,,,
39,84,,,,
39,85,,,,
39,86,,,,
39,87,,,,
39,88,,,,
39,89,,,,
39,90,,,,
40,0,,,,
40,17,,,,
40,18,,,,
40,20,,,,
40,21,,,,
40,23,,,,
40,24,,,,
40,25,,,,
40,29,,,,
40,30,,,,
40,31,,,,
40,32,,,,
40,33,,,,
40,35,,,,
40,36,,,,
40,38,,,,
40,39,,,,
40,40,,,,
40,48,0.0000000,42028.5914690,0.0000000,42028.5914690
40,52,0.0000000,57512.7622569,0.0000000,57512.7622569
40,53,0.0000000,57078.3499870,0.0000000,57078.3499870
40,54,0.0000000,50593.4757705,0.0000000,50593.4757705
40,57,0.0000000,44752.4041624,0.0000000,44752.4041624
40,58,0.0000000,42817.8858291,0.0000000,42817.8858291
40,60,0.0000000,31679.3049078,0.0000000,31679.3049078
40,61,0.0000000,27528.9963766,0.0000000,27528.9963766
40,62,0.0000000,29158.5298656,0.0000000,29158.5298656
40,63,0.0000000,24249.1065879,0.0000000,24249.1065879
40,64,0.0000000,19541.8479533,0.0000000,19541.8479533
40,66,0.0000000,20968.1806757,0.0000000,20968.1806757
